,,,
, Order Number , Cancel Stakeholder , Cancel Reason 
,"201712052754108,000", Buyer , Get lower price 
,"201711022316715,000", Seller , Sold out 
,"201710061923764,000", Seller , Delivery Delay 
,"201712082795802,000", Seller , Incorrect price information 
,"201707099376522,000", Buyer , Get lower price 
,"201712052755816,000", System , No response from seller 
,"201709221695636,000", Seller , Sold out 
,"201712112839530,000", System , No response from seller 
,"201707199866768,000", Seller , No response from seller 
,"201709141573492,000", Seller , Sold out 
,"201709261765359,000", Seller , No response from seller 
,"201710282244177,000", Seller , Sold out 
,"201710041890959,000", Seller , No response from seller 
,"201711052355637,000", Seller , Sold out 
,"201710302262094,000", Seller , Sold out 
,"201712022711733,000", Seller , No response from seller 
,"201712062766653,000", Seller , No response from seller 
,"201707089375654,000", Seller , No response from seller 
,"201711072382715,000", Seller , No response from seller 
,"201707169773626,000", System , No response from seller 
,"201707119522489,000", Seller , No response from seller 
,"201712092804143,000", System , No response from seller 
,"201712042744556,000", Seller , Sold out 
,"201709171621942,000", Seller , Sold out 
,"201710071943656,000", Seller , No response from seller 
,"201709101482656,000", System , No response from seller 
,"201709031308095,000", Seller , No response from seller 
,"201707089361692,000", Seller , No response from seller 
,"201712022716090,000", System , No response from seller 
,"201711302686663,000", Buyer , Get lower price 
,"201710122017874,000", Seller , Incorrect price information 
,"201710091968034,000", Seller , Sold out 
,"201708070638340,000", Seller , Delivery Delay 
,"201708301212231,000", System , No response from seller 
,"201708190970076,000", System , No response from seller 
,"201707149688341,000", Buyer , Get lower price 
,"201711262632799,000", Seller , No response from seller 
,"201707059153932,000", Seller , No response from seller 
,"201711282661571,000", Seller , No response from seller 
,"201709251745439,000", Seller , Sold out 
,"201711132474943,000", Seller , Sold out 
,"201709011275132,000", Buyer , Get lower price 
,"201709051369133,000", Buyer , Get lower price 
,"201709291829241,000", Buyer , Misplaced Order 
,"201712022714474,000", Seller , Incorrect price information 
,"201712042735597,000", Seller , Sold out 
,"201709071413743,000", Seller , Sold out 
,"201708130806867,000", Seller , No response from seller 
,"201710182113756,000", Buyer , Misplaced Order 
,"201708010403155,000", Seller , No response from seller 
,"201707099399963,000", Seller , No response from seller 
,"201707169769729,000", System , No response from seller 
,"201709061390247,000", Seller , No response from seller 
,"201709201664800,000", Seller , Sold out 
,"201710312280363,000", Seller , No response from seller 
,"201710172097907,000", Buyer , Get lower price 
,"201710162071779,000", System , No response from seller 
,"201712012699868,000", Seller , No response from seller 
,"201709111507426,000", Seller , Sold out 
,"201709121526829,000", Buyer , Misplaced Order 
,"201712062762963,000", System , No response from seller 
,"201712092807460,000", System , No response from seller 
,"201711032327197,000", Seller , Incorrect price information 
,"201709221698924,000", Buyer , Get lower price 
,"201711222595549,000", System , No response from seller 
,"201707109472079,000", Seller , Sold out 
,"201712042731516,000", Seller , Sold out 
,"201711022311628,000", Seller , No response from seller 
,"201712022717075,000", Buyer , Get lower price 
,"201710172098608,000", Seller , No response from seller 
,"201712082792588,000", Seller , Sold out 
,"201711192556656,000", Seller , No response from seller 
,"201711032328315,000", Buyer , Customer’s change of mind 
,"201711242614596,000", Buyer , Get lower price 
,"201709301845494,000", System , No response from seller 
,"201712062769820,000", Seller , Sold out 
,"201711252629976,000", Seller , No response from seller 
,"201712092807747,000", System , No response from seller 
,"201711082389944,000", Seller , Sold out 
,"201708070632255,000", Seller , No response from seller 
,"201709161608179,000", Seller , No response from seller 
,"201707039075774,000", System , No response from seller 
,"201710132033836,000", Seller , Sold out 
,"201710202139771,000", Seller , No response from seller 
,"201709021284788,000", Seller , No response from seller 
,"201712082791818,000", System , No response from seller 
,"201712012702833,000", Seller , No response from seller 
,"201709291824311,000", Seller , No response from seller 
,"201712022714797,000", System , No response from seller 
,"201712092810150,000", System , No response from seller 
,"201712062766493,000", Buyer , Misplaced Order 
,"201707049121938,000", Buyer , Get lower price 
,"201709121517106,000", Buyer , Get lower price 
,"201708281178209,000", System , No response from seller 
,"201707059146153,000", Seller , No response from seller 
,"201711222591081,000", Seller , Sold out 
,"201708241091397,000", Buyer , Misplaced Order 
,"201708040519369,000", System , No response from seller 
,"201712112837779,000", System , No response from seller 
,"201712092806120,000", System , No response from seller 
,"201708311243007,000", Seller , No response from seller 
,"201709141558346,000", Seller , No response from seller 
,"201711132467317,000", Seller , Sold out 
,"201709281797823,000", Buyer , Get lower price 
,"201709131545157,000", Seller , No response from seller 
,"201709111506748,000", Seller , No response from seller 
,"201712072786356,000", System , No response from seller 
,"201709051370240,000", Buyer , Get lower price 
,"201708210999555,000", Buyer , Get lower price 
,"201708301225503,000", Seller , Sold out 
,"201712022712460,000", Seller , No response from seller 
,"201711162512360,000", Seller , No response from seller 
,"201712052756100,000", Seller , No response from seller 
,"201711052349597,000", Seller , Sold out 
,"201711102428307,000", Seller , Sold out 
,"201712012705467,000", Seller , No response from seller 
,"201711172529966,000", Seller , No response from seller 
,"201708210998597,000", System , No response from seller 
,"201712022714794,000", System , No response from seller 
,"201710122015043,000", Buyer , Get lower price 
,"201709161607750,000", Seller , No response from seller 
,"201707159714360,000", Buyer , Misplaced Order 
,"201709111506137,000", Seller , Sold out 
,"201712122845707,000", System , No response from seller 
,"201711202559386,000", Seller , No response from seller 
,"201712052753546,000", Seller , Sold out 
,"201709291821349,000", Buyer , Get lower price 
,"201712042741628,000", Seller , No response from seller 
,"201710071944538,000", Seller , No response from seller 
,"201708090681924,000", Seller , No response from seller 
,"201707109441237,000", Seller , Sold out 
,"201712022714075,000", Buyer , Get lower price 
,"201708010408754,000", System , No response from seller 
,"201708090711163,000", Buyer , Get lower price 
,"201711302686954,000", Seller , No response from seller 
,"201707280280372,000", Seller , No response from seller 
,"201712122854615,000", System , No response from seller 
,"201710282243007,000", Seller , No response from seller 
,"201709221703774,000", Seller , Sold out 
,"201712022708923,000", Seller , No response from seller 
,"201709091463878,000", Seller , No response from seller 
,"201711032321682,000", Seller , Sold out 
,"201708070634366,000", Seller , Incorrect price information 
,"201710192118083,000", Buyer , Customer’s change of mind 
,"201711232598969,000", Buyer , Get lower price 
,"201710242194359,000", Seller , No response from seller 
,"201712092806861,000", Seller , No response from seller 
,"201711102431210,000", Buyer , Misplaced Order 
,"201709281813654,000", System , No response from seller 
,"201712102810687,000", Buyer , Misplaced Order 
,"201709061397061,000", Buyer , Get lower price 
,"201712022713186,000", Seller , Sold out 
,"201710101976946,000", Seller , No response from seller 
,"201708120785503,000", Seller , No response from seller 
,"201707039076813,000", System , No response from seller 
,"201712022710497,000", Buyer , Customer’s change of mind 
,"201712042740346,000", Seller , No response from seller 
,"201710031884942,000", System , No response from seller 
,"201711012298016,000", Seller , Sold out 
,"201711052354710,000", Buyer , Get lower price 
,"201712012702834,000", Seller , No response from seller 
,"201712012701011,000", System , No response from seller 
,"201712072776563,000", System , No response from seller 
,"201708221045924,000", Seller , No response from seller 
,"201708020462747,000", Seller , Sold out 
,"201709281814361,000", System , No response from seller 
,"201712112832166,000", Buyer , Get lower price 
,"201710011851711,000", System , No response from seller 
,"201709271787765,000", Seller , No response from seller 
,"201712112840264,000", System , No response from seller 
,"201711222588201,000", Seller , No response from seller 
,"201709031300151,000", Seller , No response from seller 
,"201710071946117,000", Seller , No response from seller 
,"201708301224029,000", Buyer , Get lower price 
,"201710232173317,000", Seller , No response from seller 
,"201712092804578,000", System , No response from seller 
,"201711152497083,000", Buyer , Get lower price 
,"201709031306353,000", Seller , Sold out 
,"201711142492969,000", Buyer , Get lower price 
,"201710061922337,000", Seller , No response from seller 
,"201711202566692,000", Seller , No response from seller 
,"201712042742988,000", Seller , No response from seller 
,"201710112001878,000", Seller , No response from seller 
,"201707089342259,000", Seller , No response from seller 
,"201710162083756,000", Buyer , Get lower price 
,"201709081431220,000", Buyer , Get lower price 
,"201710021865087,000", Seller , No response from seller 
,"201712052750918,000", Seller , No response from seller 
,"201708211008149,000", Seller , Sold out 
,"201707028947250,000", System , No response from seller 
,"201707109434872,000", Seller , No response from seller 
,"201709181637250,000", Seller , Sold out 
,"201708231072982,000", System , No response from seller 
,"201712092807425,000", System , No response from seller 
,"201712012697813,000", Seller , Delivery Delay 
,"201709181637144,000", Seller , No response from seller 
,"201710182111788,000", Buyer , Misplaced Order 
,"201711082389494,000", Seller , No response from seller 
,"201710272233000,000", Seller , Sold out 
,"201709251751517,000", Seller , No response from seller 
,"201708291203462,000", System , No response from seller 
,"201708271158508,000", Seller , No response from seller 
,"201709031304063,000", Buyer , Get lower price 
,"201708170924845,000", Seller , No response from seller 
,"201712082796550,000", System , No response from seller 
,"201709041315767,000", Seller , No response from seller 
,"201711142483741,000", Buyer , Get lower price 
,"201710182112921,000", Buyer , Misplaced Order 
,"201712042735539,000", Seller , No response from seller 
,"201709031295856,000", Buyer , Get lower price 
,"201709181635479,000", Seller , Sold out 
,"201707139603027,000", Seller , No response from seller 
,"201711152494331,000", Seller , Delivery Delay 
,"201710222158577,000", Seller , No response from seller 
,"201709011263867,000", Buyer , Get lower price 
,"201709131544058,000", Seller , No response from seller 
,"201709011260829,000", Seller , Sold out 
,"201708221033993,000", System , No response from seller 
,"201709061382511,000", System , No response from seller 
,"201711042342544,000", Seller , No response from seller 
,"201710091969163,000", Seller , No response from seller 
,"201710122025805,000", System , No response from seller 
,"201709091464949,000", Seller , Sold out 
,"201709061383301,000", Seller , No response from seller 
,"201708281180520,000", Buyer , Get lower price 
,"201709051348411,000", Seller , No response from seller 
,"201712012698479,000", Seller , No response from seller 
,"201708090698932,000", Buyer , Get lower price 
,"201712072774406,000", System , No response from seller 
,"201710031880914,000", Seller , No response from seller 
,"201709261763514,000", Seller , Sold out 
,"201709091463132,000", Seller , No response from seller 
,"201708110756163,000", Seller , Sold out 
,"201707059149163,000", Seller , Delivery Delay 
,"201712052755675,000", System , No response from seller 
,"201707069195710,000", System , No response from seller 
,"201709051375912,000", Seller , No response from seller 
,"201712042732686,000", System , No response from seller 
,"201711272653276,000", Seller , No response from seller 
,"201711272652179,000", System , No response from seller 
,"201712052750692,000", Seller , No response from seller 
,"201712032720529,000", Seller , No response from seller 
,"201711122457310,000", Seller , Sold out 
,"201710272226520,000", Seller , No response from seller 
,"201709031307359,000", Buyer , Get lower price 
,"201708120798720,000", Seller , No response from seller 
,"201710222161582,000", Buyer , Get lower price 
,"201709021283906,000", Seller , Sold out 
,"201711202569195,000", System , No response from seller 
,"201711272644687,000", Seller , No response from seller 
,"201710041892879,000", Seller , Sold out 
,"201710031875731,000", Buyer , Get lower price 
,"201710182114704,000", Buyer , Misplaced Order 
,"201712112835487,000", Buyer , Misplaced Order 
,"201708291203839,000", Seller , No response from seller 
,"201712042733230,000", System , No response from seller 
,"201709121529049,000", Seller , Sold out 
,"201708170928802,000", Seller , No response from seller 
,"201710252198196,000", Seller , Sold out 
,"201710091974702,000", Seller , No response from seller 
,"201712032725621,000", Seller , No response from seller 
,"201712062762193,000", Seller , Sold out 
,"201708231073510,000", Seller , Sold out 
,"201712052756554,000", Seller , Sold out 
,"201711022310065,000", Seller , No response from seller 
,"201710061923773,000", Seller , No response from seller 
,"201711012286260,000", System , No response from seller 
,"201709021277752,000", System , No response from seller 
,"201707028976199,000", System , No response from seller 
,"201712042740836,000", Seller , No response from seller 
,"201710061927694,000", System , No response from seller 
,"201710282244507,000", Seller , Sold out 
,"201711082396314,000", System , No response from seller 
,"201712032723026,000", Seller , Delivery Delay 
,"201708090684454,000", Seller , No response from seller 
,"201711282664497,000", Seller , No response from seller 
,"201710051910222,000", Seller , Sold out 
,"201711272654684,000", System , No response from seller 
,"201708281184742,000", Seller , Sold out 
,"201712032729158,000", System , No response from seller 
,"201708291206940,000", System , No response from seller 
,"201711132470079,000", Seller , Sold out 
,"201710172091200,000", Seller , Sold out 
,"201711272643196,000", Seller , No response from seller 
,"201710162074993,000", Seller , No response from seller 
,"201707149683946,000", Seller , No response from seller 
,"201712042739977,000", Seller , Sold out 
,"201712032724254,000", Buyer , Get lower price 
,"201709101490469,000", System , No response from seller 
,"201709051368633,000", Buyer , Get lower price 
,"201708020446512,000", System , No response from seller 
,"201710182116087,000", Buyer , Customer’s change of mind 
,"201709101482446,000", System , No response from seller 
,"201712112822355,000", Buyer , Get lower price 
,"201711032321557,000", Seller , Sold out 
,"201712042732131,000", Seller , No response from seller 
,"201709151587346,000", Seller , No response from seller 
,"201712112835049,000", System , No response from seller 
,"201712082793503,000", Seller , No response from seller 
,"201709021281177,000", Seller , No response from seller 
,"201709151591237,000", Buyer , Misplaced Order 
,"201712012699626,000", System , No response from seller 
,"201712082789814,000", Seller , Sold out 
,"201710312283183,000", System , No response from seller 
,"201711112447883,000", Seller , Sold out 
,"201708130813579,000", Seller , No response from seller 
,"201712062761123,000", System , No response from seller 
,"201711102430906,000", Seller , No response from seller 
,"201710292256574,000", Seller , Sold out 
,"201708170915102,000", System , No response from seller 
,"201707189828526,000", Seller , No response from seller 
,"201709131555111,000", Seller , Sold out 
,"201711142487577,000", Seller , Sold out 
,"201712122842311,000", System , No response from seller 
,"201711072386801,000", Buyer , Get lower price 
,"201707199875841,000", System , No response from seller 
,"201710011856342,000", Buyer , Customer’s change of mind 
,"201709131546157,000", Buyer , Customer’s change of mind 
,"201707069211449,000", Seller , No response from seller 
,"201710262212597,000", Buyer , Get lower price 
,"201711092407666,000", Seller , No response from seller 
,"201712042731799,000", System , No response from seller 
,"201711292682584,000", Seller , No response from seller 
,"201710142058477,000", Seller , No response from seller 
,"201708291208947,000", Seller , No response from seller 
,"201712042741183,000", Seller , No response from seller 
,"201711092417897,000", Seller , Sold out 
,"201708311255055,000", Seller , No response from seller 
,"201709061381428,000", System , No response from seller 
,"201707179791638,000", Buyer , Misplaced Order 
,"201709011270648,000", Seller , No response from seller 
,"201706298809879,000", Seller , Incorrect price information 
,"201710021862100,000", System , No response from seller 
,"201707149673034,000", Seller , Sold out 
,"201712022711159,000", Seller , No response from seller 
,"201711122463282,000", Seller , No response from seller 
,"201712062765543,000", Buyer , Get lower price 
,"201709061390887,000", Seller , Sold out 
,"201712032721623,000", Seller , No response from seller 
,"201709201669274,000", Buyer , Get lower price 
