,,,
, Order Number , Cancel Stakeholder , Cancel Reason 
,"201709141556200,000", Seller , No response from seller 
,"201710272235719,000", Seller , No response from seller 
,"201707169757060,000", System , No response from seller 
,"201707129600918,000", System , No response from seller 
,"201707079252438,000", Seller , No response from seller 
,"201711132478494,000", System , No response from seller 
,"201707179817284,000", Seller , No response from seller 
,"201711282665448,000", Buyer , Get lower price 
,"201711292677684,000", Seller , No response from seller 
,"201712072782252,000", System , No response from seller 
,"201710182113069,000", Buyer , Misplaced Order 
,"201712052755058,000", Buyer , Get lower price 
,"201712112836840,000", System , No response from seller 
,"201712062763326,000", Seller , Sold out 
,"201710152061818,000", Seller , No response from seller 
,"201710162074944,000", Seller , Sold out 
,"201707109438862,000", Seller , Sold out 
,"201712062766789,000", Seller , No response from seller 
,"201710182114562,000", Buyer , Misplaced Order 
,"201712112837884,000", System , No response from seller 
,"201711112437899,000", Seller , Sold out 
,"201709151593272,000", Seller , Sold out 
,"201712032722791,000", Seller , No response from seller 
,"201709051374510,000", Seller , Sold out 
,"201708160884323,000", Seller , Sold out 
,"201707089375314,000", Seller , No response from seller 
,"201711142488698,000", Seller , No response from seller 
,"201711052355488,000", Seller , Sold out 
,"201712102810253,000", System , No response from seller 
,"201709071409129,000", Seller , No response from seller 
,"201710312275649,000", Seller , No response from seller 
,"201710041890448,000", Seller , No response from seller 
,"201708130817903,000", Buyer , Misplaced Order 
,"201709041344139,000", System , No response from seller 
,"201708211014169,000", System , No response from seller 
,"201708301232026,000", System , No response from seller 
,"201708010404477,000", Seller , No response from seller 
,"201712122853470,000", System , No response from seller 
,"201710142053940,000", Buyer , Customer’s change of mind 
,"201711012291001,000", System , No response from seller 
,"201708070622577,000", Seller , Sold out 
,"201710252202770,000", Seller , Sold out 
,"201712012697454,000", Seller , No response from seller 
,"201709121522948,000", Seller , Sold out 
,"201710212148680,000", Seller , No response from seller 
,"201710202133025,000", Buyer , Customer’s change of mind 
,"201712052750022,000", System , No response from seller 
,"201710182113566,000", Buyer , Get lower price 
,"201709041324004,000", Seller , No response from seller 
,"201709041321069,000", Seller , Sold out 
,"201709221704956,000", Buyer , Get lower price 
,"201710101986767,000", Seller , Sold out 
,"201709041325654,000", Seller , No response from seller 
,"201712052756209,000", Seller , No response from seller 
,"201709241737807,000", Seller , Sold out 
,"201712042743007,000", Seller , No response from seller 
,"201711072387812,000", Seller , Incorrect price information 
,"201708210997153,000", System , No response from seller 
,"201712042737236,000", Seller , No response from seller 
,"201711222585097,000", Seller , No response from seller 
,"201707069179319,000", Seller , No response from seller 
,"201707219989760,000", Seller , Sold out 
,"201709101486047,000", Seller , No response from seller 
,"201709191647806,000", Buyer , Misplaced Order 
,"201708190958229,000", Seller , No response from seller 
,"201711062365512,000", Seller , Sold out 
,"201709281809096,000", Seller , No response from seller 
,"201711082402040,000", Seller , Sold out 
,"201712042734664,000", Buyer , Misplaced Order 
,"201711112451037,000", System , No response from seller 
,"201710252197512,000", Seller , Sold out 
,"201712072784925,000", Seller , Sold out 
,"201707018882233,000", Seller , Sold out 
,"201712092809348,000", System , No response from seller 
,"201709131546942,000", Seller , No response from seller 
,"201710182111395,000", Seller , Sold out 
,"201708040530063,000", Seller , Sold out 
,"201710272230311,000", Buyer , Misplaced Order 
,"201710122021021,000", Seller , Sold out 
,"201711032334288,000", Seller , No response from seller 
,"201710122027265,000", Seller , No response from seller 
,"201712122843573,000", Buyer , Customer’s change of mind 
,"201709171623071,000", Buyer , Customer’s change of mind 
,"201712112836563,000", System , No response from seller 
,"201708200982783,000", System , No response from seller 
,"201710182113420,000", Buyer , Misplaced Order 
,"201712102820539,000", System , No response from seller 
,"201708241097554,000", System , No response from seller 
,"201711272652226,000", Seller , Sold out 
,"201710292252338,000", Seller , Sold out 
,"201707109444192,000", Seller , No response from seller 
,"201709251744656,000", Buyer , Misplaced Order 
,"201712052748403,000", Seller , No response from seller 
,"201711222594778,000", System , No response from seller 
,"201712072774030,000", Seller , Sold out 
,"201712022716853,000", Seller , Sold out 
,"201708100724268,000", Seller , No response from seller 
,"201712062761886,000", Buyer , Misplaced Order 
,"201711102425055,000", Seller , Sold out 
,"201707310382370,000", System , No response from seller 
,"201710011851323,000", Seller , Sold out 
,"201711102432961,000", Seller , Sold out 
,"201708090709419,000", Seller , Sold out 
,"201709181639035,000", Seller , Sold out 
,"201707139613835,000", Buyer , Get lower price 
,"201712042731730,000", Seller , No response from seller 
,"201712092809334,000", System , No response from seller 
,"201712072780624,000", Buyer , Get lower price 
,"201709291831271,000", Seller , Sold out 
,"201708150862030,000", Seller , No response from seller 
,"201711072378285,000", Seller , No response from seller 
,"201712072781699,000", Seller , Sold out 
,"201712052748575,000", Seller , No response from seller 
,"201708231078613,000", Seller , No response from seller 
,"201709271787980,000", Seller , No response from seller 
,"201707209913032,000", Seller , No response from seller 
,"201712042731991,000", Seller , No response from seller 
,"201710101979288,000", Seller , No response from seller 
,"201711062370014,000", Seller , No response from seller 
,"201712032724515,000", Seller , Sold out 
,"201712092807499,000", System , No response from seller 
,"201708180932986,000", Seller , Sold out 
,"201712112835661,000", System , No response from seller 
,"201709121519664,000", Seller , Sold out 
,"201711102422393,000", Seller , Sold out 
,"201711142486855,000", Seller , No response from seller 
,"201709021281898,000", System , No response from seller 
,"201710162074218,000", Buyer , Get lower price 
,"201709231725279,000", System , No response from seller 
,"201709121526285,000", Seller , No response from seller 
,"201712112837618,000", System , No response from seller 
,"201711132474082,000", Seller , Sold out 
,"201712092809208,000", Seller , Sold out 
,"201712112839297,000", System , No response from seller 
,"201710061932741,000", Buyer , Get lower price 
,"201709091468836,000", Buyer , Misplaced Order 
,"201712112841969,000", System , No response from seller 
,"201711222594885,000", Seller , No response from seller 
,"201709221702523,000", Seller , No response from seller 
,"201709111500162,000", Seller , No response from seller 
,"201707018922190,000", Seller , Sold out 
,"201708090691925,000", Seller , No response from seller 
,"201708190966485,000", Seller , No response from seller 
,"201710272232624,000", Seller , No response from seller 
,"201712052756330,000", Seller , No response from seller 
,"201707189865807,000", Seller , No response from seller 
,"201708070623625,000", Seller , Delivery Delay 
,"201709111507127,000", System , No response from seller 
,"201710202145688,000", Seller , Sold out 
,"201712042741489,000", Seller , No response from seller 
,"201711172532211,000", Seller , Sold out 
,"201710162071034,000", Seller , Sold out 
,"201709271795847,000", Seller , No response from seller 
,"201712012699684,000", Buyer , Misplaced Order 
,"201712062772457,000", Seller , No response from seller 
,"201710132043481,000", Buyer , Misplaced Order 
,"201710081949577,000", Buyer , Misplaced Order 
,"201707018929390,000", Buyer , Get lower price 
,"201710112002110,000", Seller , Sold out 
,"201707300327666,000", System , No response from seller 
,"201712102810329,000", System , No response from seller 
,"201707099412528,000", Buyer , Misplaced Order 
,"201710081951162,000", Seller , No response from seller 
,"201708090708591,000", System , No response from seller 
,"201710262222546,000", Buyer , Get lower price 
,"201707059168110,000", Seller , Delivery Delay 
,"201711032321872,000", Seller , Sold out 
,"201710302266943,000", Seller , No response from seller 
,"201710081950046,000", Seller , Sold out 
,"201712062769910,000", Seller , Sold out 
,"201711202559180,000", System , No response from seller 
,"201709071407979,000", Seller , No response from seller 
,"201712072781996,000", System , No response from seller 
,"201712092806747,000", Seller , Sold out 
,"201712112822913,000", System , No response from seller 
,"201711082403637,000", Buyer , Get lower price 
,"201712112832955,000", Seller , Delivery Delay 
,"201709051372648,000", System , No response from seller 
,"201707169750365,000", System , No response from seller 
,"201710101985902,000", System , No response from seller 
,"201712092808467,000", System , No response from seller 
,"201707169760869,000", System , No response from seller 
,"201710132041887,000", Seller , No response from seller 
,"201708301220045,000", Seller , No response from seller 
,"201710182113830,000", Buyer , Misplaced Order 
,"201708080680426,000", System , No response from seller 
,"201710021860973,000", Seller , No response from seller 
,"201711082403577,000", Seller , Sold out 
,"201709011264955,000", Seller , Sold out 
,"201710041888920,000", System , No response from seller 
,"201710302261772,000", System , No response from seller 
,"201712062771797,000", System , No response from seller 
,"201710112005212,000", Buyer , Misplaced Order 
,"201712112825534,000", Buyer , Misplaced Order 
,"201709021280679,000", Buyer , Get lower price 
,"201712042743922,000", Seller , Sold out 
,"201710262216360,000", Seller , Sold out 
,"201711032332772,000", Buyer , Misplaced Order 
,"201710262216191,000", Seller , Sold out 
,"201712022712973,000", Seller , No response from seller 
,"201712122843945,000", System , No response from seller 
,"201711012290804,000", Seller , Delivery Delay 
,"201707169754189,000", System , No response from seller 
,"201709251748783,000", System , No response from seller 
,"201711032330588,000", System , No response from seller 
,"201711282667224,000", Seller , No response from seller 
,"201709181639474,000", Seller , Sold out 
,"201707139615577,000", Buyer , Get lower price 
,"201709081433034,000", Seller , Delivery Delay 
,"201707129590333,000", Seller , No response from seller 
,"201711162509875,000", Seller , No response from seller 
,"201711082402365,000", Seller , No response from seller 
,"201709081438880,000", Seller , No response from seller 
,"201711172526702,000", Seller , No response from seller 
,"201708070637981,000", Buyer , Get lower price 
,"201707039029811,000", System , No response from seller 
,"201707089355246,000", Seller , Sold out 
,"201711292671737,000", System , No response from seller 
,"201712022715765,000", Seller , Sold out 
,"201709271788657,000", Seller , No response from seller 
,"201711022316320,000", System , No response from seller 
,"201710061931644,000", Seller , No response from seller 
,"201709101481176,000", Seller , Sold out 
,"201712032728072,000", Seller , No response from seller 
,"201712102813492,000", Buyer , Misplaced Order 
,"201710162083182,000", Seller , No response from seller 
,"201707179807483,000", Seller , Incorrect price information 
,"201709271782548,000", Seller , Sold out 
,"201709051356106,000", Seller , No response from seller 
,"201708020456250,000", System , No response from seller 
,"201710041895317,000", Seller , No response from seller 
,"201710021871245,000", Seller , No response from seller 
,"201712072785804,000", System , No response from seller 
,"201712072773937,000", System , No response from seller 
,"201706308826578,000", Buyer , Get lower price 
,"201710021867246,000", System , No response from seller 
,"201712112833440,000", System , No response from seller 
,"201709141570019,000", Seller , Sold out 
,"201711012293752,000", Buyer , Get lower price 
,"201712032725977,000", Seller , No response from seller 
,"201710252207421,000", Seller , No response from seller 
,"201707069181578,000", Buyer , Get lower price 
,"201712022716952,000", System , No response from seller 
,"201712062763641,000", Seller , Sold out 
,"201709071410760,000", System , No response from seller 
,"201711052355595,000", System , No response from seller 
,"201707039068075,000", Seller , No response from seller 
,"201708020453378,000", Buyer , Misplaced Order 
,"201707028957727,000", Seller , Sold out 
,"201710162072137,000", Seller , No response from seller 
,"201712072780739,000", Seller , Sold out 
,"201708070614107,000", System , No response from seller 
,"201709051352737,000", Seller , Sold out 
,"201710182110134,000", Seller , No response from seller 
,"201708291192592,000", Seller , No response from seller 
,"201712072782610,000", Buyer , Misplaced Order 
,"201712112841684,000", System , No response from seller 
,"201712082788898,000", Seller , Sold out 
,"201709031308483,000", Seller , No response from seller 
,"201707119538483,000", Seller , No response from seller 
,"201710031878300,000", Seller , Sold out 
,"201712112820772,000", System , No response from seller 
,"201708180935977,000", System , No response from seller 
,"201711042344811,000", Seller , Sold out 
,"201709061389239,000", Seller , No response from seller 
,"201711162515472,000", System , No response from seller 
,"201708110754237,000", Seller , Sold out 
,"201709081438894,000", Buyer , Get lower price 
,"201709191653372,000", Seller , No response from seller 
,"201711042342805,000", Seller , Sold out 
,"201710212157448,000", Seller , No response from seller 
,"201711032332747,000", Buyer , Get lower price 
,"201710282245089,000", Seller , Sold out 
,"201708160901594,000", Seller , Sold out 
,"201711072386464,000", Seller , Sold out 
,"201709251745522,000", Seller , No response from seller 
,"201707109480332,000", Buyer , Get lower price 
,"201707139651025,000", Seller , No response from seller 
,"201712112839702,000", System , No response from seller 
,"201708060598388,000", Seller , Sold out 
,"201708020467371,000", Seller , Sold out 
,"201711292680962,000", Seller , No response from seller 
,"201710132038581,000", Seller , Sold out 
,"201711092414538,000", Seller , Sold out 
,"201710262218110,000", Buyer , Misplaced Order 
,"201709151592105,000", Seller , No response from seller 
,"201710122030006,000", Buyer , Misplaced Order 
,"201710031877866,000", System , No response from seller 
,"201708090692884,000", Seller , No response from seller 
,"201707039062833,000", Seller , Sold out 
,"201710101981475,000", Seller , Sold out 
,"201712112840356,000", System , No response from seller 
,"201711022302325,000", System , No response from seller 
,"201710192123723,000", Seller , Sold out 
,"201712042743343,000", Seller , No response from seller 
,"201709061390036,000", Buyer , Misplaced Order 
,"201712112833092,000", System , No response from seller 
,"201710222167963,000", Buyer , Get lower price 
,"201712052756783,000", Seller , No response from seller 
,"201707059153132,000", Seller , Sold out 
,"201711282670344,000", Buyer , Get lower price 
,"201712082788495,000", Seller , Sold out 
,"201711032329965,000", Seller , No response from seller 
,"201709031295804,000", Buyer , Get lower price 
,"201710132035293,000", Seller , No response from seller 
,"201711272654327,000", Seller , No response from seller 
,"201709111499864,000", Seller , No response from seller 
,"201708291208840,000", Buyer , Misplaced Order 
