Order Number,Purchase Confirmation Date
"20,170,908,143,366,200,000",20170914
"20,170,923,171,771,000,000",20170923
"20,170,913,154,601,600,000",20170920
"20,170,926,177,493,800,000",20171002
"20,170,912,153,194,800,000",20170920
"20,170,928,180,325,600,000",20171005
"20,170,917,162,333,600,000",20170926
"20,170,907,140,567,700,000",20170909
"20,171,012,202,415,700,000",20171016
"20,171,027,223,500,300,000",20171101
"20,171,014,204,980,200,000",20171021
"20,171,020,214,387,300,000",20171020
"20,171,025,220,215,600,000",20171026
"20,171,004,189,395,700,000",20171004
"20,171,024,219,421,700,000",20171031
"20,171,030,226,180,500,000",20171030
"20,171,008,194,714,000,000",20171017
"20,171,002,185,761,800,000",20171004
"20,171,003,187,853,500,000",20171010
"20,171,009,196,380,000,000",20171017
"20,171,027,223,547,900,000",20171027
"20,171,005,190,541,800,000",20171011
"20,171,019,212,880,800,000",20171022
"20,171,028,223,717,400,000",20171101
"20,171,020,213,365,000,000",20171020
"20,171,028,224,508,500,000",20171111
"20,171,016,207,540,600,000",20171016
"20,171,020,214,602,400,000",20171020
"20,171,028,224,447,600,000",20171028
"20,171,002,185,817,400,000",20171002
"20,171,008,195,124,100,000",20171008
"20,171,017,209,420,700,000",20171024
"20,171,016,207,585,000,000",20171021
"20,171,021,215,061,200,000",20171021
"20,171,027,222,564,000,000",20171027
"20,171,015,206,500,700,000",20171020
"20,171,017,210,197,400,000",20171023
"20,171,008,195,819,200,000",20171013
"20,171,027,223,077,700,000",20171101
"20,170,708,934,693,200,000",20170714
"20,170,720,994,476,900,000",20170725
"20,170,729,031,728,200,000",20170730
"20,170,715,971,923,800,000",20170715
"20,170,711,951,568,400,000",20170720
"20,170,704,913,410,800,000",20170704
"20,170,719,987,061,400,000",20170719
"20,170,703,906,636,500,000",20170703
"20,170,719,987,442,300,000",20170723
"20,170,711,954,449,000,000",20170717
"20,170,722,002,230,500,000",20170722
"20,170,711,952,799,000,000",20170719
"20,170,706,924,785,000,000",20170714
"20,170,708,933,149,000,000",20170708
"20,170,701,890,395,000,000",20170701
"20,170,702,895,639,800,000",20170702
"20,170,712,959,721,700,000",20170718
"20,170,709,941,689,700,000",20170711
"20,170,727,019,777,500,000",20170803
"20,170,720,994,920,800,000",20170720
"20,170,705,916,477,600,000",20170801
"20,170,706,919,447,700,000",20170712
"20,170,702,894,677,500,000",20170707
"20,170,704,914,024,500,000",20170712
"20,170,718,983,400,000,000",20170718
"20,170,711,953,395,500,000",20170712
"20,170,726,019,222,900,000",20170726
"20,170,727,019,334,700,000",20170727
"20,170,718,985,484,700,000",20170718
"20,170,712,959,996,000,000",20170712
"20,170,709,940,136,300,000",20170711
"20,170,727,023,042,500,000",20170727
"20,170,731,036,550,300,000",20170731
"20,170,703,904,120,600,000",20170711
"20,170,716,975,135,000,000",20170725
"20,170,710,942,602,700,000",20170710
"20,170,704,909,568,200,000",20170704
"20,170,710,946,156,500,000",20170710
"20,170,724,007,228,400,000",20170724
"20,170,705,915,376,400,000",20170706
"20,170,723,004,975,300,000",20170728
"20,170,709,939,296,800,000",20170709
"20,170,728,026,951,400,000",20170809
"20,170,630,885,332,900,000",20170708
"20,170,701,892,610,400,000",20170701
"20,170,715,972,240,900,000",20170719
"20,170,726,015,291,300,000",20170726
"20,170,713,964,323,400,000",20170719
"20,170,727,021,759,900,000",20170727
"20,170,704,914,189,000,000",20170706
"20,170,711,952,317,000,000",20170714
"20,170,729,029,667,800,000",20170729
"20,170,701,893,521,100,000",20170701
"20,170,726,015,670,700,000",20170726
"20,170,827,114,656,100,000",20170827
"20,170,812,078,756,100,000",20170819
"20,170,804,053,976,600,000",20170804
"20,170,824,108,651,700,000",20170825
"20,170,809,069,983,100,000",20170809
